"x"
"EBOOK"
"BOOK"
"MUSIC"
"MAGAZINE"
"MOVIE"
"VIDEODISC"
"AUDIOBOOK"
"ER, SOUNDDISC"
"SOUNDDISC"
"SONG"
"SOUNDREC"
"TELEVISION"
"REGPRINT"
"VIDEOREC"
"MIXED"
"VIDEOCASS, VIDEODISC"
"VISUAL"
"SOUNDDISC, VIDEODISC"
"COMIC"
"CR"
"VIDEOCASS"
"ER"
"ER, VIDEODISC"
"LARGEPRINT"
"MAP"
"SOUNDCASS"
"UNSPECIFIED"
"ATLAS"
"GLOBE"
"VIDEOCART"
"ER, SOUNDREC"
"ER, SOUNDDISC, SOUNDREC"
